survey_year,region,pesticide,total_weight_applied_kg,total_area_treated_ha
2016,Eastern,Imidacloprid,71,792
2014,Eastern,Imidacloprid,291,"3,234"
2012,Eastern,Imidacloprid,704,"7,834"
2010,Eastern,Imidacloprid,"1,713","56,299"
2008,Eastern,Imidacloprid,"4,182","167,698"
2006,Eastern,Imidacloprid,"11,866","250,419"
2004,Eastern,Imidacloprid,"21,282","289,328"
2002,Eastern,Imidacloprid,"14,165","209,214"
2000,Eastern,Imidacloprid,"11,563","128,853"
1998,Eastern,Imidacloprid,"10,173","106,569"
1996,Eastern,Imidacloprid,"6,677","64,928"
1994,Eastern,Imidacloprid,"2,145","21,034"
2016,Midlands & Western,Imidacloprid,115,"1,277"
2014,Midlands & Western,Imidacloprid,121,"1,350"
2012,Midlands & Western,Imidacloprid,322,"3,225"
2010,Midlands & Western,Imidacloprid,331,"28,090"
2008,Midlands & Western,Imidacloprid,"1,359","57,302"
2006,Midlands & Western,Imidacloprid,"3,968","93,636"
2004,Midlands & Western,Imidacloprid,"3,422","88,613"
2002,Midlands & Western,Imidacloprid,"3,554","61,102"
2000,Midlands & Western,Imidacloprid,"8,838","132,498"
1998,Midlands & Western,Imidacloprid,"1,524","15,964"
1996,Midlands & Western,Imidacloprid,"1,143","11,111"
1994,Midlands & Western,Imidacloprid,458,"4,454"
2014,Northern,Imidacloprid,245,"4,453"
2012,Northern,Imidacloprid,273,"3,459"
2010,Northern,Imidacloprid,578,"27,511"
2008,Northern,Imidacloprid,"1,734","76,178"
2006,Northern,Imidacloprid,"5,062","129,627"
2004,Northern,Imidacloprid,"3,074","90,217"
2002,Northern,Imidacloprid,"4,312","83,579"
2000,Northern,Imidacloprid,"1,997","26,791"
1998,Northern,Imidacloprid,"1,289","13,508"
1996,Northern,Imidacloprid,855,"8,316"
1994,Northern,Imidacloprid,233,"2,265"
2014,Northern Ireland,Imidacloprid,15,236
2012,Northern Ireland,Imidacloprid,10,300
2010,Northern Ireland,Imidacloprid,19,530
2014,Scotland,Imidacloprid,62,"1,223"
2012,Scotland,Imidacloprid,51,"3,161"
2010,Scotland,Imidacloprid,216,"10,895"
2008,Scotland,Imidacloprid,240,"27,633"
2006,Scotland,Imidacloprid,360,"25,845"
2004,Scotland,Imidacloprid,547,"22,689"
2002,Scotland,Imidacloprid,3,302
2000,Scotland,Imidacloprid,291,"3,329"
2014,South Eastern,Imidacloprid,53,860
2012,South Eastern,Imidacloprid,459,"7,587"
2010,South Eastern,Imidacloprid,"1,673","34,344"
2008,South Eastern,Imidacloprid,"2,736","104,697"
2006,South Eastern,Imidacloprid,"4,830","117,840"
2004,South Eastern,Imidacloprid,"6,285","151,236"
2002,South Eastern,Imidacloprid,"4,154","89,792"
2000,South Eastern,Imidacloprid,"1,998","32,106"
2014,South Western,Imidacloprid,11,188
2012,South Western,Imidacloprid,25,407
2010,South Western,Imidacloprid,489,"18,675"
2008,South Western,Imidacloprid,"1,757","58,395"
2006,South Western,Imidacloprid,"3,533","82,652"
2004,South Western,Imidacloprid,"3,874","89,547"
2002,South Western,Imidacloprid,"2,152","46,830"
2000,South Western,Imidacloprid,"1,208","19,824"
1996,South Western,Imidacloprid,101,986
2010,Wales,Imidacloprid,36,"3,015"
2008,Wales,Imidacloprid,38,"3,145"
2006,Wales,Imidacloprid,555,"9,096"
2004,Wales,Imidacloprid,555,"10,497"
2002,Wales,Imidacloprid,139,"2,237"
2018,Eastern,Clothianidin,"36,531","426,050"
2016,Eastern,Clothianidin,"33,931","393,177"
2014,Eastern,Clothianidin,"34,533","455,628"
2012,Eastern,Clothianidin,"20,465","282,755"
2010,Eastern,Clothianidin,"20,541","269,906"
2008,Eastern,Clothianidin,"14,078","178,353"
2006,Eastern,Clothianidin,"1,498","18,872"
2018,Midlands & Western,Clothianidin,"14,802","168,815"
2016,Midlands & Western,Clothianidin,"11,393","130,508"
2014,Midlands & Western,Clothianidin,"10,460","136,783"
2012,Midlands & Western,Clothianidin,"9,335","123,656"
2010,Midlands & Western,Clothianidin,"7,684","99,374"
2008,Midlands & Western,Clothianidin,"4,178","48,684"
2006,Midlands & Western,Clothianidin,487,"5,576"
2018,Northern,Clothianidin,"11,209","127,818"
2016,Northern,Clothianidin,"9,021","102,162"
2014,Northern,Clothianidin,"7,324","102,948"
2012,Northern,Clothianidin,"7,177","108,389"
2010,Northern,Clothianidin,"6,205","80,074"
2008,Northern,Clothianidin,"2,414","27,200"
2006,Northern,Clothianidin,597,"6,948"
2018,Northern Ireland,Clothianidin,"1,027","11,417"
2016,Northern Ireland,Clothianidin,882,"10,407"
2014,Northern Ireland,Clothianidin,674,"7,750"
2012,Northern Ireland,Clothianidin,573,"6,535"
2010,Northern Ireland,Clothianidin,570,"6,607"
2018,Scotland,Clothianidin,"2,185","21,091"
2016,Scotland,Clothianidin,750,"8,867"
2014,Scotland,Clothianidin,"1,476","28,251"
2012,Scotland,Clothianidin,"1,321","29,980"
2010,Scotland,Clothianidin,516,"9,997"
2008,Scotland,Clothianidin,338,"3,444"
2006,Scotland,Clothianidin,40,378
2018,South Eastern,Clothianidin,"15,395","176,074"
2016,South Eastern,Clothianidin,"13,978","159,411"
2014,South Eastern,Clothianidin,"13,845","181,804"
2012,South Eastern,Clothianidin,"12,806","163,846"
2010,South Eastern,Clothianidin,"14,539","182,045"
2008,South Eastern,Clothianidin,"8,129","92,244"
2006,South Eastern,Clothianidin,662,"7,456"
2018,South Western,Clothianidin,"11,080","126,527"
2016,South Western,Clothianidin,"8,862","100,604"
2014,South Western,Clothianidin,"11,922","140,048"
2012,South Western,Clothianidin,"6,020","76,147"
2010,South Western,Clothianidin,"5,688","71,938"
2008,South Western,Clothianidin,"3,493","39,492"
2006,South Western,Clothianidin,351,"3,995"
2018,Wales,Clothianidin,966,"11,036"
2016,Wales,Clothianidin,431,"4,938"
2014,Wales,Clothianidin,587,"7,248"
2012,Wales,Clothianidin,"1,058","13,084"
2010,Wales,Clothianidin,568,"6,494"
2008,Wales,Clothianidin,256,"2,889"
2020,Eastern,Thiacloprid,"9,788","130,411"
2018,Eastern,Thiacloprid,"5,020","63,710"
2016,Eastern,Thiacloprid,"3,503","43,932"
2014,Eastern,Thiacloprid,"1,522","18,159"
2012,Eastern,Thiacloprid,"2,795","33,241"
2010,Eastern,Thiacloprid,948,"11,214"
2008,Eastern,Thiacloprid,"1,508","17,607"
2006,Eastern,Thiacloprid,61,678
2020,Midlands & Western,Thiacloprid,"2,181","28,483"
2018,Midlands & Western,Thiacloprid,"1,460","18,161"
2016,Midlands & Western,Thiacloprid,655,"8,495"
2014,Midlands & Western,Thiacloprid,375,"4,154"
2012,Midlands & Western,Thiacloprid,"1,658","18,317"
2010,Midlands & Western,Thiacloprid,387,"4,035"
2020,Northern,Thiacloprid,"2,192","30,089"
2018,Northern,Thiacloprid,575,"6,699"
2016,Northern,Thiacloprid,660,"7,919"
2014,Northern,Thiacloprid,290,"3,026"
2012,Northern,Thiacloprid,409,"4,847"
2010,Northern,Thiacloprid,272,"2,905"
2008,Northern,Thiacloprid,211,"2,504"
2006,Northern,Thiacloprid,68,710
2018,Northern Ireland,Thiacloprid,5,48
2016,Northern Ireland,Thiacloprid,14,146
2012,Northern Ireland,Thiacloprid,38,392
2010,Northern Ireland,Thiacloprid,5,70
2020,Scotland,Thiacloprid,"1,439","15,824"
2018,Scotland,Thiacloprid,"1,139","13,367"
2016,Scotland,Thiacloprid,751,"8,901"
2014,Scotland,Thiacloprid,"1,385","15,097"
2012,Scotland,Thiacloprid,"1,112","13,240"
2010,Scotland,Thiacloprid,"1,103","11,911"
2008,Scotland,Thiacloprid,"1,424","16,316"
2006,Scotland,Thiacloprid,324,"3,790"
2020,South Eastern,Thiacloprid,748,"9,594"
2018,South Eastern,Thiacloprid,779,"10,827"
2016,South Eastern,Thiacloprid,196,"2,353"
2014,South Eastern,Thiacloprid,87,"1,214"
2012,South Eastern,Thiacloprid,376,"5,547"
2010,South Eastern,Thiacloprid,152,"1,699"
2008,South Eastern,Thiacloprid,240,"2,502"
2006,South Eastern,Thiacloprid,12,121
2020,South Western,Thiacloprid,529,"6,626"
2018,South Western,Thiacloprid,525,"6,653"
2016,South Western,Thiacloprid,312,"3,648"
2014,South Western,Thiacloprid,94,"1,453"
2012,South Western,Thiacloprid,417,"4,340"
2010,South Western,Thiacloprid,42,436
2020,Wales,Thiacloprid,26,268
